Compare Type," ""Source Offset"""," ""Source Count (dec)"""," ""Source Count (hex)"""," ""Target Offset"""," ""Target Count (dec)"""," ""Target Count (hex)"""
Replaced, 0006C699,1,1, 0006C6E6,1,1
Matched, 0006C69A,56,38, 0006C6E7,56,38
Replaced, 0006C6D2,1,1, 0006C71F,1,1
Matched, 0006C6D3,85,55, 0006C720,85,55
Replaced, 0006C728,106, 6A, 0006C775,106, 6A
Matched, 0006C792,33,21, 0006C7DF,33,21
Replaced, 0006C7B3,1,1, 0006C800,1,1
Matched, 0006C7B4,54,36, 0006C801,54,36
Replaced, 0006C7EA,1,1, 0006C837,1,1
Matched, 0006C7EB,78, 4E, 0006C838,78, 4E
Replaced, 0006C839,289,121, 0006C886,289,121
Matched, 0006C95A,53,35, 0006C9A7,53,35
Replaced, 0006C98F,79, 4F, 0006C9DC,79, 4F
Matched, 0006C9DE,35,23, 0006CA2B,35,23
Replaced, 0006CA01,1,1, 0006CA4E,1,1
Matched, 0006CA02,61, 3D, 0006CA4F,61, 3D
Replaced, 0006CA3F,122, 7A, 0006CA8C,122, 7A
Matched, 0006CAB9,53,35, 0006CB06,53,35
Replaced, 0006CAEE,79, 4F, 0006CB3B,79, 4F
Matched, 0006CB3D,35,23, 0006CB8A,35,23
Replaced, 0006CB60,1,1, 0006CBAD,1,1
Matched, 0006CB61,61, 3D, 0006CBAE,61, 3D
Replaced, 0006CB9E,122, 7A, 0006CBEB,122, 7A
Matched, 0006CC18,53,35, 0006CC65,53,35
Replaced, 0006CC4D,64,40, 0006CC9A,64,40
Matched, 0006CC8D,48,30, 0006CCDA,48,30
Replaced, 0006CCBD,1,1, 0006CD0A,1,1
Matched, 0006CCBE,61, 3D, 0006CD0B,61, 3D
Replaced, 0006CCFB,263,107, 0006CD48,263,107
Matched, 0006CE02,108, 6C, 0006CE4F,108, 6C
Replaced, 0006CE6E,67,43, 0006CEBB,67,43
Matched, 0006CEB1,44, 2C, 0006CEFE,44, 2C
Replaced, 0006CEDD,2,2, 0006CF2A,2,2
Matched, 0006CEDF,32,20, 0006CF2C,32,20
Replaced, 0006CEFF,2,2, 0006CF4C,2,2
Matched, 0006CF01,32,20, 0006CF4E,32,20
Replaced, 0006CF21,2,2, 0006CF6E,2,2
Matched, 0006CF23,32,20, 0006CF70,32,20
Replaced, 0006CF43,2,2, 0006CF90,2,2
Matched, 0006CF45,32,20, 0006CF92,32,20
Replaced, 0006CF65,2,2, 0006CFB2,2,2
Matched, 0006CF67,32,20, 0006CFB4,32,20
Replaced, 0006CF87,39,27, 0006CFD4,39,27
