c01cc3 bne $1cbf     [c01cbf] A:b1d1 X:0019 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 78 H: 494 F:15
c01cbf stz $0200,x   [000219] A:b1d1 X:0019 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 78 H: 512 F:15
c01cc2 inx                    A:b1d1 X:0019 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 78 H: 584 F:15
c01cc3 bne $1cbf     [c01cbf] A:b1d1 X:001a Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 78 H: 596 F:15
c01cbf stz $0200,x   [00021a] A:b1d1 X:001a Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 78 H: 614 F:15
c01cc2 inx                    A:b1d1 X:001a Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 78 H: 646 F:15
c01cc3 bne $1cbf     [c01cbf] A:b1d1 X:001b Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 78 H: 658 F:15
c01cbf stz $0200,x   [00021b] A:b1d1 X:001b Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 78 H: 676 F:15
c01cc2 inx                    A:b1d1 X:001b Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 78 H: 708 F:15
c01cc3 bne $1cbf     [c01cbf] A:b1d1 X:001c Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 78 H: 720 F:15
c01cbf stz $0200,x   [00021c] A:b1d1 X:001c Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 78 H: 738 F:15
c01cc2 inx                    A:b1d1 X:001c Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 78 H: 770 F:15
c01cc3 bne $1cbf     [c01cbf] A:b1d1 X:001d Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 78 H: 782 F:15
c01cbf stz $0200,x   [00021d] A:b1d1 X:001d Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 78 H: 800 F:15
c01cc2 inx                    A:b1d1 X:001d Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 78 H: 832 F:15
c01cc3 bne $1cbf     [c01cbf] A:b1d1 X:001e Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 78 H: 844 F:15
c01cbf stz $0200,x   [00021e] A:b1d1 X:001e Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 78 H: 862 F:15
c01cc2 inx                    A:b1d1 X:001e Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 78 H: 894 F:15
c01cc3 bne $1cbf     [c01cbf] A:b1d1 X:001f Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 78 H: 906 F:15
c01cbf stz $0200,x   [00021f] A:b1d1 X:001f Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 78 H: 924 F:15
c01cc2 inx                    A:b1d1 X:001f Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 78 H: 956 F:15
c01cc3 bne $1cbf     [c01cbf] A:b1d1 X:0020 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 78 H: 968 F:15
c01cbf stz $0200,x   [000220] A:b1d1 X:0020 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 78 H: 986 F:15
c01cc2 inx                    A:b1d1 X:0020 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 78 H:1018 F:15
c01cc3 bne $1cbf     [c01cbf] A:b1d1 X:0021 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 78 H:1030 F:15
c01cbf stz $0200,x   [000221] A:b1d1 X:0021 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 78 H:1048 F:15
c01cc2 inx                    A:b1d1 X:0021 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 78 H:1080 F:15
c01cc3 bne $1cbf     [c01cbf] A:b1d1 X:0022 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 78 H:1092 F:15
c01cbf stz $0200,x   [000222] A:b1d1 X:0022 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 78 H:1110 F:15
c01cc2 inx                    A:b1d1 X:0022 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 78 H:1142 F:15
c01cc3 bne $1cbf     [c01cbf] A:b1d1 X:0023 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 78 H:1154 F:15
c01cbf stz $0200,x   [000223] A:b1d1 X:0023 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 78 H:1172 F:15
c01cc2 inx                    A:b1d1 X:0023 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 78 H:1204 F:15
c01cc3 bne $1cbf     [c01cbf] A:b1d1 X:0024 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 78 H:1216 F:15
c01cbf stz $0200,x   [000224] A:b1d1 X:0024 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 78 H:1234 F:15
c01cc2 inx                    A:b1d1 X:0024 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 78 H:1266 F:15
c01cc3 bne $1cbf     [c01cbf] A:b1d1 X:0025 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 78 H:1278 F:15
c01cbf stz $0200,x   [000225] A:b1d1 X:0025 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 78 H:1296 F:15
c01cc2 inx                    A:b1d1 X:0025 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 78 H:1328 F:15
c01cc3 bne $1cbf     [c01cbf] A:b1d1 X:0026 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 78 H:1340 F:15
c01cbf stz $0200,x   [000226] A:b1d1 X:0026 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 78 H:1358 F:15
c01cc2 inx                    A:b1d1 X:0026 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 79 H:  26 F:15
c01cc3 bne $1cbf     [c01cbf] A:b1d1 X:0027 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 79 H:  38 F:15
