c01cc3 bne $1cbf     [c01cbf] A:b2d1 X:0023 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:145 H:1204 F:15
c01cbf stz $0200,x   [000223] A:b2d1 X:0023 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:145 H:1222 F:15
c01cc2 inx                    A:b2d1 X:0023 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:145 H:1254 F:15
c01cc3 bne $1cbf     [c01cbf] A:b2d1 X:0024 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:145 H:1266 F:15
c01cbf stz $0200,x   [000224] A:b2d1 X:0024 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:145 H:1284 F:15
c01cc2 inx                    A:b2d1 X:0024 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:145 H:1316 F:15
c01cc3 bne $1cbf     [c01cbf] A:b2d1 X:0025 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:145 H:1328 F:15
c01cbf stz $0200,x   [000225] A:b2d1 X:0025 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:145 H:1346 F:15
c01cc2 inx                    A:b2d1 X:0025 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:146 H:  14 F:15
c01cc3 bne $1cbf     [c01cbf] A:b2d1 X:0026 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:146 H:  26 F:15
c01cbf stz $0200,x   [000226] A:b2d1 X:0026 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:146 H:  44 F:15
c01cc2 inx                    A:b2d1 X:0026 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:146 H:  76 F:15
c01cc3 bne $1cbf     [c01cbf] A:b2d1 X:0027 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:146 H:  88 F:15
c01cbf stz $0200,x   [000227] A:b2d1 X:0027 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:146 H: 106 F:15
c01cc2 inx                    A:b2d1 X:0027 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:146 H: 138 F:15
c01cc3 bne $1cbf     [c01cbf] A:b2d1 X:0028 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:146 H: 150 F:15
c01cbf stz $0200,x   [000228] A:b2d1 X:0028 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:146 H: 168 F:15
c01cc2 inx                    A:b2d1 X:0028 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:146 H: 200 F:15
c01cc3 bne $1cbf     [c01cbf] A:b2d1 X:0029 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:146 H: 212 F:15
c01cbf stz $0200,x   [000229] A:b2d1 X:0029 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:146 H: 230 F:15
c01cc2 inx                    A:b2d1 X:0029 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:146 H: 262 F:15
c01cc3 bne $1cbf     [c01cbf] A:b2d1 X:002a Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:146 H: 274 F:15
c01cbf stz $0200,x   [00022a] A:b2d1 X:002a Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:146 H: 292 F:15
c01cc2 inx                    A:b2d1 X:002a Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:146 H: 324 F:15
c01cc3 bne $1cbf     [c01cbf] A:b2d1 X:002b Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:146 H: 336 F:15
c01cbf stz $0200,x   [00022b] A:b2d1 X:002b Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:146 H: 354 F:15
c01cc2 inx                    A:b2d1 X:002b Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:146 H: 386 F:15
c01cc3 bne $1cbf     [c01cbf] A:b2d1 X:002c Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:146 H: 398 F:15
c01cbf stz $0200,x   [00022c] A:b2d1 X:002c Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:146 H: 416 F:15
c01cc2 inx                    A:b2d1 X:002c Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:146 H: 448 F:15
